id,lat,lon,name,REGION_C
0,1.2356547634141564,103.8339492110714,,
1,1.242889685247364,103.8339492127425,Southern Islands-Sentosa,CR
2,1.250124606682692,103.83394921442336,Southern Islands-Sentosa,CR
3,1.257359527717826,103.833949216114,Bukit Merah-City Terminals,CR
4,1.2645944483504508,103.83394921781438,,
5,1.2718293685782525,103.83394921952454,Bukit Merah-City Terminals,CR
6,1.279064288398916,103.83394922124445,Bukit Merah-Singapore General Hospital,CR
7,1.2862992078101279,103.83394922297413,Bukit Merah-Bukit Ho Swee,CR
8,1.2935341268095726,103.83394922471359,River Valley-Institution Hill,CR
9,1.3007690453949363,103.83394922646279,River Valley-Paterson,CR
10,1.3080039635639047,103.83394922822178,Orchard-Boulevard,CR
11,1.3152388813141624,103.83394922999051,Newton-Goodwood Park,CR
12,1.3224737986433965,103.83394923176903,Novena-Malcolm,CR
13,1.3297087155492917,103.83394923355729,Novena-Mount Pleasant,CR
307,1.3369436320295347,103.83394923535533,Novena-Mount Pleasant,CR
14,1.3369436320295347,103.83394923535533,Novena-Mount Pleasant,CR
15,1.34417854808181,103.83394923716313,Central Water Catchment-Central Water Catchment,NR
308,1.34417854808181,103.83394923716313,Central Water Catchment-Central Water Catchment,NR
309,1.351413463703804,103.8339492389807,Bishan-Upper Thomson,CR
16,1.351413463703804,103.8339492389807,Bishan-Upper Thomson,CR
17,1.3586483788932027,103.83394924080804,Bishan-Upper Thomson,CR
612,1.3912054125442446,103.85262584984977,Ang Mo Kio-Yio Chu Kang East,NER
613,1.3984403249005226,103.85262590877036,Yishun-Lower Seletar,NR
310,1.3984403249005226,103.85262590877036,Yishun-Lower Seletar,NR
311,1.4056752368091612,103.85262596799687,Yishun-Lower Seletar,NR
614,1.4056752368091612,103.85262596799687,Yishun-Lower Seletar,NR
312,1.4129101482678461,103.8526260275293,Yishun-Lower Seletar,NR
313,1.4201450592742635,103.85262608736767,Yishun-Lower Seletar,NR
314,1.4273799698260996,103.85262614751196,Yishun-Yishun East,NR
315,1.43461487992104,103.8526262079622,Simpang-Simpang South,NR
316,1.4418497895567715,103.85262626871838,Simpang-Simpang North,NR
317,1.4490846987309798,103.85262632978052,Simpang-Simpang North,NR
318,1.456319607441351,103.8526263911486,Simpang-Tanjong Irau,NR
18,1.24288965279322,103.84639954399996,,
19,1.2501245740395732,103.84639957966039,Southern Islands-Sentosa,CR
20,1.26459441532938,103.84639965160262,,
21,1.271829335368204,103.84639968788447,Bukit Merah-City Terminals,CR
22,1.2790642549998896,103.84639972437347,Downtown Core-Maxwell,CR
23,1.2862991742221213,103.84639976106962,Singapore River-Boat Quay,CR
24,1.2935340930325856,103.84639979797292,Museum-Fort Canning,CR
25,1.3007690114289674,103.8463998350834,Rochor-Mount Emily,CR
26,1.3080039294089532,103.84639987240102,Newton-Istana Negara,CR
27,1.3152388469702274,103.84639990992582,Kallang-Kampong Java,CR
28,1.3224737641104767,103.84639994765777,Novena-Moulmein,CR
29,1.3297086808273866,103.8463999855969,Toa Payoh-Toa Payoh Central,CR
30,1.3369435971186423,103.84640002374321,Toa Payoh-Braddell,CR
31,1.3441785129819297,103.84640006209669,Bishan-Marymount,CR
32,1.351413428414935,103.84640010065736,Bishan-Marymount,CR
33,1.3586483434153434,103.8464001394252,Bishan-Marymount,CR
615,1.3658832579808413,103.84640017840023,Ang Mo Kio-Townsville,NER
34,1.3658832579808413,103.84640017840023,Ang Mo Kio-Townsville,NER
616,1.3731181721091141,103.84640021758246,Ang Mo Kio-Ang Mo Kio Town Centre,NER
617,1.3803530857978479,103.84640025697186,Ang Mo Kio-Yio Chu Kang,NER
618,1.3875879990447286,103.84640029656849,Ang Mo Kio-Yio Chu Kang,NER
619,1.3948229118474418,103.84640033637228,Ang Mo Kio-Yio Chu Kang North,NER
319,1.3948229118474418,103.84640033637228,Ang Mo Kio-Yio Chu Kang North,NER
320,1.402057824203674,103.8464003763833,Yishun-Lower Seletar,NR
321,1.4092927361111112,103.84640041660151,Yishun-Lower Seletar,NR
322,1.4165276475674384,103.84640045702693,Yishun-Lower Seletar,NR
323,1.4237625585703433,103.84640049765956,Yishun-Yishun East,NR
324,1.4309974691175102,103.84640053849941,Yishun-Yishun East,NR
325,1.4382323792066272,103.84640057954648,Simpang-Simpang North,NR
326,1.4454672888353781,103.84640062080075,Simpang-Simpang North,NR
327,1.4527021980014514,103.84640066226227,Simpang-Tanjong Irau,NR
328,1.459937106702532,103.846400703931,Sembawang-Sembawang Straits,NR
35,1.2645943222117582,103.85885008467959,,
36,1.271829241717676,103.8588501555331,Straits View-Straits View,CR
37,1.279064160816452,103.85885022679118,Downtown Core-Bayfront Subzone,CR
38,1.286299079505772,103.85885029845379,Downtown Core-Bayfront Subzone,CR
39,1.293533997783321,103.85885037052094,Downtown Core-Marina Centre,CR
40,1.3007689156467852,103.85885044299265,Rochor-Kampong Glam,CR
41,1.3080038330938504,103.85885051586892,Kallang-Lavender,CR
42,1.3152387501222012,103.85885058914975,Kallang-Lavender,CR
43,1.3224736667295238,103.85885066283517,Kallang-Bendemeer,CR
44,1.3297085829135038,103.85885073692513,Novena-Balestier,CR
45,1.3369434986718272,103.85885081141971,Toa Payoh-Pei Chun,CR
620,1.3441784140021793,103.85885088631886,Bishan-Bishan East,CR
46,1.3441784140021793,103.85885088631886,Bishan-Bishan East,CR
621,1.3514133289022459,103.85885096162261,Serangoon-Lorong Chuan,NER
47,1.3514133289022459,103.85885096162261,Serangoon-Lorong Chuan,NER
